Table 3 
Stellar Host Masses and Ages


Name	DM97				BCAH98				SDF00				
HN Tau A	-0.09	(-0.27, -0.05)	0.48	(-0.22, 1.07)	0.07	(-0.08, 0.15)	0.85	(0.43, 1.54)	-0.04	(-0.14, 0.05)	0.73	(0.31, 1.37)	
HN Tau B	-0.65	(-0.78, -0.53)	1.25	(0.81, 1.64)	-0.68	(-0.90, -0.52)	1.12	(0.68, 1.57)	-0.72	(-0.89, -0.61)	1.11	(0.86, 1.59)	
J04334171+1750402	-0.67	(-0.80, -0.53)	0.27	(0.05, 0.63)	-0.58	(-0.83, -0.44)	0.39	(-0.04, 0.77)	-0.61	(-0.83, -0.53)	0.55	(0.35, 0.76)	
J04334465+2615005	-0.79	(-0.88, -0.71)	-0.66	(-0.94, -0.06)	-0.70	(-0.87, -0.52)	-0.19	(-1.03, 0.03)	-0.71	(-0.81, -0.62)	0.25	(-0.57, 0.28)	
DM Tau	-0.31	(-0.47, -0.23)	0.48	(0.21, 0.83)	-0.15	(-0.29, -0.11)	0.89	(0.57, 1.13)	-0.33	(-0.41, -0.22)	0.70	(0.49, 1.01)	
CI Tau	-0.31	(-0.49, -0.21)	-0.29	(-0.76, 0.15)	0.06	(-0.04, 0.11)	0.49	(0.04, 0.78)	-0.10	(-0.23, 0.00)	0.25	(0.01, 0.64)	
J04335245+2612548	-1.94	(-2.01, -1.52)	0.03	(-2.16, 0.89)	-1.73	(-2.17, -1.49)	1.10	(-1.87, 1.11)	-1.86	(-2.05, -1.38)	0.81	(-0.21, 1.38)	
IT Tau A	0.02	(-0.11, 0.08)	0.22	(-0.14, 0.52)	0.23	(0.12, 0.29)	0.71	(0.50, 1.07)	0.15	(0.09, 0.20)	0.66	(0.36, 0.93)	
IT Tau B	-0.77	(-0.82, -0.59)	0.05	(-0.65, 0.30)	-0.55	(-0.76, -0.42)	0.07	(-0.51, 0.46)	-0.63	(-0.77, -0.53)	0.37	(-0.22, 0.56)	
AA Tau	-0.33	(-0.48, -0.19)	-0.30	(-0.94, 0.33)	0.06	(-0.05, 0.12)	0.50	(-0.08, 0.86)	-0.10	(-0.24, -0.01)	0.31	(-0.06, 0.77)	
HO Tau	-0.21	(-0.42, -0.19)	0.98	(0.60, 1.30)	-0.18	(-0.31, -0.14)	1.21	(0.87, 1.51)	-0.25	(-0.41, -0.21)	1.12	(0.82, 1.45)	
DN Tau	-0.53	(-0.58, -0.31)	-0.29	(-0.88, -0.01)	0.00	(-0.18, 0.04)	0.33	(-0.18, 0.62)	-0.22	(-0.36, -0.09)	0.12	(-0.05, 0.51)	
CoKu Tau/3 A	-0.55	(-0.60, -0.37)	-0.22	(-0.78, 0.05)	-0.12	(-0.23, -0.04)	0.35	(-0.09, 0.61)	-0.32	(-0.41, -0.22)	0.15	(0.00, 0.47)	
CoKu Tau/3 B	-0.82	(-0.92, -0.48)	0.07	(-0.83, 0.42)	-0.78	(-0.85, -0.36)	0.05	(-0.57, 0.59)	-0.79	(-0.92, -0.51)	0.35	(-0.63, 0.54)	
HQ Tau	0.15	(-0.04, 0.21)	-0.13	(-0.46, 0.16)	0.37	(0.29, 0.43)	0.45	(0.10, 0.71)	0.28	(0.21, 0.33)	0.34	(0.08, 0.58)	
HP Tau	0.01	(-0.12, 0.10)	0.04	(-0.29, 0.34)	0.27	(0.18, 0.33)	0.60	(0.38, 0.89)	0.18	(0.12, 0.23)	0.50	(0.23, 0.76)	
Haro 6-28 A	-0.46	(-0.59, -0.32)	0.28	(0.03, 0.72)	-0.27	(-0.42, -0.18)	0.68	(0.32, 0.98)	-0.42	(-0.50, -0.31)	0.55	(0.37, 0.88)	
Haro 6-28 B	-0.66	(-0.76, -0.49)	0.20	(-0.28, 0.65)	-0.49	(-0.67, -0.36)	0.40	(-0.09, 0.83)	-0.56	(-0.70, -0.47)	0.52	(0.24, 0.82)	
J04361030+2159364	-1.88	(-1.93, -1.48)	-0.04	(-2.15, 0.83)	-1.67	(-2.18, -1.51)	0.96	(-2.14, 0.88)	-1.78	(-2.00, -1.36)	0.75	(-0.28, 1.22)	
J04362151+2351165	-0.81	(-1.02, -0.70)	1.16	(0.84, 1.52)	-0.95	(-1.25, -0.78)	0.91	(0.41, 1.37)	-0.94	(-1.13, -0.79)	1.04	(0.87, 1.49)	
ITG 1	-0.82	(-1.13, -0.71)	1.70	(1.01, 1.83)	-0.87	(-1.20, -0.74)	1.56	(0.83, 1.79)	-0.88	(-1.16, -0.77)	1.63	(1.08, 1.83)	
J04381486+2611399	-1.52	(-1.78, -1.09)	1.02	(-0.65, 1.49)	-1.56	(-1.69, -1.12)	0.98	(-0.83, 1.45)	-1.23	(-1.70, -1.09)	1.04	(0.13, 1.63)	
GM Tau	-0.91	(-1.21, -0.83)	0.55	(0.00, 0.84)	-1.23	(-1.39, -1.08)	0.45	(-2.01, 0.41)	-1.23	(-1.31, -0.99)	0.67	(-0.13, 0.80)	
DO Tau	-0.50	(-0.61, -0.39)	-0.43	(-1.49, -0.36)	0.01	(-0.15, 0.07)	-0.03	(-0.75, 0.32)	-0.33	(-0.40, -0.12)	-0.11	(-0.89, 0.19)	
HV Tau C^b	-0.34	(-0.39, -0.13)	-0.29	(-1.14, 0.61)	0.12	(0.02, 0.17)	0.60	(-0.14, 1.08)	-0.04	(-0.13, 0.03)	0.43	(-0.12, 0.99)	
J04385859+2336351	-0.68	(-0.80, -0.55)	0.56	(0.23, 1.05)	-0.65	(-0.94, -0.50)	0.65	(-0.02, 1.04)	-0.68	(-0.89, -0.59)	0.69	(0.44, 1.05)	
J04390163+2336029	-0.92	(-0.99, -0.80)	0.24	(-0.37, 0.34)	-1.05	(-1.17, -0.89)	0.19	(-2.38, 0.13)	-0.99	(-1.07, -0.86)	0.51	(-0.31, 0.53)	
J04390396+2544264	-1.11	(-1.36, -0.91)	0.40	(-0.97, 0.52)	-1.19	(-1.39, -1.05)	-1.15	(-2.52, 0.14)	-1.18	(-1.34, -1.00)	0.58	(-0.44, 0.62)	
VY Tau A	-0.28	(-0.45, -0.17)	0.34	(0.03, 0.77)	-0.07	(-0.24, -0.04)	0.85	(0.45, 1.11)	-0.22	(-0.35, -0.12)	0.68	(0.41, 1.03)	
VY Tau B	-0.67	(-0.99, -0.45)	0.39	(-0.18, 1.07)	-1.06	(-1.17, -0.50)	0.33	(-1.96, 0.93)	-1.01	(-1.08, -0.53)	0.59	(-0.14, 1.04)	
LkCa 15	-0.15	(-0.30, -0.04)	0.16	(-0.26, 0.61)	0.09	(0.02, 0.16)	0.71	(0.40, 1.10)	0.02	(-0.11, 0.08)	0.57	(0.24, 0.94)	
GN Tau A	-0.64	(-0.71, -0.50)	-0.16	(-0.88, -0.01)	-0.29	(-0.44, -0.19)	0.14	(-0.46, 0.41)	-0.48	(-0.56, -0.37)	0.14	(-0.35, 0.35)	
GN Tau B	-0.68	(-0.75, -0.42)	-0.10	(-0.80, 0.16)	-0.33	(-0.57, -0.18)	0.21	(-0.52, 0.55)	-0.59	(-0.63, -0.31)	0.22	(-0.27, 0.51)	
J04393364+2359212	-0.86	(-0.91, -0.66)	0.28	(-0.15, 0.56)	-1.05	(-1.09, -0.65)	0.23	(-1.58, 0.50)	-0.92	(-1.00, -0.69)	0.55	(-0.09, 0.67)	
ITG 15	-0.88	(-0.94, -0.74)	-1.16	(-1.72, -0.71)	-0.67	(-0.84, -0.49)	-0.85	(-1.57, -0.41)	-0.65	(-0.76, -0.59)	-0.78	(-1.05, -0.06)	
CFHT 4	-0.94	(-1.06, -0.85)	-0.72	(-1.24, -0.13)	-1.02	(-1.08, -0.82)	-0.46	(-2.51, -0.24)	-0.90	(-1.04, -0.79)	-0.63	(-0.88, 0.17)	
J04400067+2358211	-0.86	(-1.13, -0.78)	0.67	(0.36, 1.03)	-1.21	(-1.35, -0.97)	0.50	(-1.57, 0.64)	-1.18	(-1.27, -0.90)	0.73	(0.02, 0.98)	
IRAS 04370+2559	-0.55	(-0.76, -0.27)	-0.31	(-1.45, -0.01)	-0.05	(-0.49, 0.02)	0.00	(-1.21, 0.43)	-0.50	(-0.57, -0.06)	0.02	(-0.96, 0.47)	
J04403979+2519061 AB^a	-0.68	(-0.76, -0.42)	0.25	(-0.25, 0.48)	-0.79	(-0.86, -0.46)	0.20	(-1.88, 0.38)	-0.74	(-0.81, -0.46)	0.53	(-0.17, 0.62)	
JH 223 A	-0.46	(-0.59, -0.32)	0.25	(0.03, 0.66)	-0.27	(-0.41, -0.17)	0.61	(0.32, 0.94)	-0.42	(-0.49, -0.31)	0.52	(0.36, 0.84)	
JH 223 B	-1.31	(-1.46, -0.73)	0.66	(-0.48, 1.32)	-1.37	(-1.55, -0.88)	0.59	(-2.09, 1.03)	-1.36	(-1.44, -0.78)	0.76	(-0.05, 1.37)	
ITG 33A^b	-0.65	(-0.73, -0.45)	0.08	(-0.71, 0.71)	-0.39	(-0.56, -0.27)	0.34	(-0.43, 0.87)	-0.52	(-0.62, -0.43)	0.47	(-0.24, 0.90)	
ITG 34	-0.80	(-0.98, -0.70)	0.52	(0.26, 0.88)	-1.15	(-1.23, -0.81)	0.40	(-1.63, 0.60)	-1.06	(-1.14, -0.79)	0.66	(0.02, 0.86)	
CoKu Tau/4 AB^a	-0.14	(-0.27, -0.03)	0.11	(-0.11, 0.53)	0.04	(-0.09, 0.13)	0.59	(0.27, 0.88)	-0.06	(-0.18, 0.03)	0.43	(0.27, 0.76)	
ITG 40	-0.72	(-0.78, -0.53)	0.02	(-0.73, 0.33)	-0.46	(-0.64, -0.33)	0.14	(-0.48, 0.54)	-0.57	(-0.68, -0.47)	0.36	(-0.24, 0.60)	
IRAS 04385+2550	-0.32	(-0.48, -0.19)	0.23	(-0.10, 0.64)	-0.05	(-0.23, -0.02)	0.75	(0.36, 1.03)	-0.22	(-0.34, -0.11)	0.59	(0.32, 0.94)	
J04414489+2301513	-1.82	(-1.88, -1.43)	-0.11	(-2.15, 0.75)	-1.63	(-2.14, -1.49)	-1.97	(-2.36, 0.60)	-1.71	(-1.95, -1.37)	0.71	(-0.35, 1.07)	
J04414825+2534304	-1.57	(-1.61, -0.99)	0.58	(-1.68, 0.78)	-1.40	(-1.68, -1.17)	-1.05	(-2.54, 0.43)	-1.38	(-1.59, -1.07)	0.64	(-0.42, 0.88)	
V955 Tau A	-0.45	(-0.49, -0.22)	-0.34	(-0.89, 0.06)	0.06	(-0.04, 0.12)	0.46	(-0.04, 0.72)	-0.10	(-0.23, 0.01)	0.19	(-0.04, 0.58)	
V955 Tau B	-0.65	(-0.71, -0.46)	-0.09	(-0.72, 0.14)	-0.31	(-0.46, -0.20)	0.23	(-0.29, 0.53)	-0.45	(-0.56, -0.36)	0.19	(-0.04, 0.46)	
CIDA 7	-0.84	(-0.88, -0.65)	0.17	(-0.35, 0.40)	-0.89	(-1.01, -0.58)	0.15	(-1.07, 0.44)	-0.85	(-0.93, -0.64)	0.48	(-0.16, 0.59)	
DP Tau A	-0.28	(-0.47, -0.20)	0.61	(0.05, 1.03)	-0.13	(-0.27, -0.07)	0.89	(0.42, 1.24)	-0.27	(-0.39, -0.17)	0.77	(0.41, 1.20)	
DP Tau B	-0.42	(-0.64, -0.28)	0.50	(0.03, 1.04)	-0.26	(-0.52, -0.18)	0.75	(0.19, 0.19)	-0.42	(-0.56, -0.27)	0.69	(0.40, 1.20)	
GO Tau	-0.27	(-0.44, -0.17)	0.47	(0.08, 0.88)	-0.09	(-0.25, -0.04)	0.89	(0.48, 1.18)	-0.20	(-0.35, -0.12)	0.75	(0.44, 1.11)	
CIDA 14	-0.81	(-0.89, -0.73)	-0.63	(-0.92, -0.02)	-0.74	(-0.93, -0.57)	-0.18	(-1.23, 0.02)	-0.74	(-0.84, -0.65)	0.28	(-0.57, 0.29)	
IRAS 04414+2506	-1.03	(-1.30, -0.90)	0.32	(-1.05, 0.38)	-1.15	(-1.32, -1.00)	-1.24	(-2.55, 0.06)	-1.12	(-1.27, -0.95)	0.55	(-0.55, 0.56)	
IRAS 04429+1550	-0.51	(-0.68, -0.39)	0.10	(-0.13, 0.46)	-0.34	(-0.48, -0.22)	0.45	(0.13, 0.78)	-0.45	(-0.54, -0.36)	0.41	(0.28, 0.68)	
DQ Tau AB^a	-0.01	(-0.14, 0.07)	0.18	(-0.23, 0.68)	0.21	(0.12, 0.27)	0.66	(0.25, 1.02)	0.09	(0.00, 0.16)	0.55	(0.25, 0.96)	
Haro 6-37 A	-0.28	(-0.46, -0.18)	-0.16	(-0.52, 0.33)	0.05	(-0.06, 0.10)	0.60	(0.17, 0.89)	-0.09	(-0.23, -0.01)	0.39	(0.10, 0.76)	
Haro 6-37 B	-0.81	(-0.97, -0.36)	0.09	(-1.01, 0.63)	-0.71	(-0.83, -0.25)	0.05	(-0.53, 0.81)	-0.80	(-0.96, -0.36)	0.36	(-0.78, 0.75)	
Haro 6-37 C	-0.37	(-0.51, -0.26)	0.28	(-0.05, 0.70)	-0.14	(-0.27, -0.08)	0.70	(0.36, 1.00)	-0.32	(-0.40, -0.22)	0.53	(0.31, 0.90)	
DR Tau	-0.34	(-0.39, -0.07)	-0.43	(-0.95, 0.04)	0.17	(0.10, 0.24)	0.45	(-0.05, 0.68)	0.08	(-0.09, 0.14)	0.17	(-0.11, 0.52)	
DS Tau	-0.14	(-0.29, -0.04)	0.21	(-0.21, 0.64)	0.08	(0.02, 0.15)	0.75	(0.45, 1.13)	0.02	(-0.11, 0.07)	0.61	(0.27, 0.97)	
UY Aur A	-0.51	(-0.59, -0.34)	-0.35	(-1.18, -0.15)	0.00	(-0.17, 0.05)	0.19	(-0.46, 0.50)	-0.23	(-0.39, -0.11)	0.01	(-0.39, 0.40)	
UY Aur B	-0.63	(-0.72, -0.51)	-0.18	(-1.00, -0.02)	-0.28	(-0.43, -0.18)	0.10	(-0.59, 0.37)	-0.49	(-0.56, -0.38)	0.11	(-0.56, 0.32)	
St 34 AB^a	-0.26	(-0.30, -0.12)	0.79	(0.51, 1.19)	-0.14	(-0.26, -0.06)	0.96	(0.63, 1.33)	-0.26	(-0.33, -0.17)	0.88	(0.70, 1.21)	
St 34 C	-0.85	(-1.08, -0.74)	1.10	(0.78, 1.48)	-1.00	(-1.32, -0.83)	0.89	(0.03, 1.30)	-0.97	(-1.18, -0.83)	1.02	(0.83, 1.45)	
GM Aur	0.03	(-0.10, 0.08)	0.33	(-0.02, 0.60)	0.17	(0.09, 0.25)	0.85	(0.62, 1.17)	0.13	(0.08, 0.18)	0.75	(0.47, 1.01)	
J04554535+3019389	-0.73	(-0.86, -0.61)	0.39	(0.22, 0.74)	-1.05	(-1.08, -0.60)	0.34	(-1.04, 0.72)	-0.72	(-1.00, -0.65)	0.61	(0.21, 0.81)	
AB Aur	0.36	(0.30, 0.42)	1.29	(0.79, 1.79)	0.32	(0.28, 0.79)	1.36	(0.77, 1.85)	0.36	(0.31, 0.44)	1.32	(0.78, 1.80)	
J04554801+3028050	-0.85	(-1.07, -0.73)	1.08	(0.77, 1.46)	-1.00	(-1.32, -0.83)	0.87	(-0.01, 1.27)	-0.97	(-1.18, -0.82)	0.98	(0.83, 1.42)	
J04554969+3019400	-0.89	(-1.17, -0.79)	0.83	(0.53, 1.17)	-1.28	(-1.39, -0.96)	0.59	(-1.10, 0.85)	-1.03	(-1.30, -0.90)	0.81	(0.22, 1.13)	
XEST 26-062	-0.76	(-0.82, -0.62)	-0.03	(-0.76, 0.08)	-0.54	(-0.74, -0.41)	0.02	(-0.59, 0.28)	-0.65	(-0.75, -0.53)	0.30	(-0.35, 0.40)	
SU Aur	0.40	(0.30, 0.47)	-0.04	(-0.32, 0.29)	0.54	(0.44, 0.64)	0.43	(-0.19, 0.65)	0.40	(0.30, 0.45)	0.46	(0.14, 0.70)	
XEST 26-071	-0.62	(-0.73, -0.46)	0.37	(0.15, 0.78)	-0.51	(-0.68, -0.37)	0.60	(0.21, 0.95)	-0.56	(-0.71, -0.48)	0.60	(0.45, 0.88)	
MWC 480	0.26	(0.24, 0.31)	1.20	(0.84, 1.80)	0.26	(0.23, 0.35)	1.36	(1.35, 1.88)	0.28	(0.26, 0.32)	0.85	(0.92, 1.82)	
V836 Tau	-0.25	(-0.39, -0.14)	0.11	(-0.21, 0.55)	0.02	(-0.07, 0.07)	0.78	(0.38, 1.03)	-0.08	(-0.23, -0.02)	0.57	(0.26, 0.89)	
CIDA 8	-0.76	(-0.78, -0.50)	0.09	(-0.34, 0.39)	-0.48	(-0.67, -0.35)	0.28	(-0.12, 0.63)	-0.53	(-0.69, -0.46)	0.41	(0.21, 0.62)	
CIDA 9 A	-0.21	(-0.33, -0.16)	1.19	(0.72, 1.68)	-0.18	(-0.25, -0.09)	1.41	(1.01, 1.81)	-0.21	(-0.35, -0.16)	1.38	(0.95, 1.76)	
CIDA 9 B	-0.37	(-0.64, -0.26)	1.02	(0.23, 1.51)	-0.28	(-0.65, -0.20)	1.13	(0.25, 1.55)	-0.41	(-0.64, -0.27)	1.12	(0.56, 1.61)	
CIDA 11 AB^a	-0.35	(-0.45, -0.21)	0.38	(0.15, 0.80)	-0.30	(-0.47, -0.17)	0.61	(0.21, 0.97)	-0.38	(-0.48, -0.25)	0.61	(0.45, 0.90)	
RW Aur A	0.08	(-0.12, 0.14)	0.13	(-0.31, 0.49)	0.26	(0.15, 0.34)	0.60	(0.30, 0.97)	0.18	(0.08, 0.23)	0.49	(0.17, 0.85)	
RW Aur B	-0.14	(-0.30, -0.04)	0.18	(-0.27, 0.63)	0.09	(0.02, 0.16)	0.71	(0.40, 1.11)	0.02	(-0.11, 0.08)	0.58	(0.24, 0.95)	
CIDA 12	-0.66	(-0.76, -0.52)	0.51	(0.31, 0.90)	-0.60	(-0.84, -0.45)	0.65	(0.20, 1.01)	-0.65	(-0.83, -0.55)	0.67	(0.52, 0.95)	
Notes. The units of the compiled stellar masses and ages are in units of M_sun and Myr, respectively. The quantity CI(X) is meant to represent the extreme values of the variable X that span its 68.2% ("1sigma") confidence interval, derived from its associated marginal probability density function (see Section 3.2.1). As an example, consider the results for CIDA 12 from the SDF00 grid: an alternative (perhaps more familiar) way of quoting the measurements would be $\log {M_{\ast }} = -0.65^{+0.10}_{-0.18}$ and $\log {t_{\ast }} = 0.67^{+0.28}_{-0.15}$.
a The log M_* values (and their confidence intervals) in these composite multiple systems were determined by properly combining the marginal probability density functions determined for their individual components, as described in the text. The corresponding log t_* values (and their confidence intervals) correspond to the primary components.
b These systems are either known or strongly suspected to be associated with nearly edge-on disks. Since such a viewing geometry substantially obscures the starlight, the derived estimates of L_* for these cases are not used to determine masses and ages. Instead, we compute the weighted mean and standard deviation of the luminosities for the ensemble of sources with the same spectral type (+or-1 subclass), and associate them with L_* and sigma_L in the Bayesian inference method for {M_*, t_*}: details are available in Appendix B.
